Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Fall,2013,27,SHS,375,0,20,0,0,3,0,0,2,0,0,1,0,1,0,Comm Partners & Health,"Cetin, Patricia D",3.4814814814814814
Spring,2015,24,MATH,461,1,5,2,1,5,5,2,0,2,0,1,0,0,0,Probability Theory,"Junge, Marius",3.000833333333334
Fall,2016,50,CEE,457,0,11,6,8,7,5,6,6,1,0,0,0,0,0,Groundwater,"Valocchi, Albert J",3.0931999999999995
Fall,2012,256,ATMS,100,37,72,37,31,44,16,10,5,1,0,0,0,2,1,Introduction to Meteorology,"Frame, Jeffrey",3.4694509803921565
Summer,2019,30,CHEM,332,2,0,4,2,7,5,2,0,3,0,1,1,0,3,Elementary Organic Chem II,"Koerner, Michael",2.7788888888888894
Spring,2013,87,STAT,420,14,23,11,7,7,7,2,3,7,3,1,0,2,0,Methods of Applied Statistics,"Culpepper, Steven A",3.203563218390805
Spring,2016,70,SPED,322,0,64,0,0,3,0,0,2,0,0,1,0,0,0,Intro Intellectual Disability,"Light Shriner, Cheryl L",3.857142857142857
Fall,2016,207,ACCY,500,23,83,36,15,41,4,4,0,0,0,0,0,0,1,"Atg Measuremnt, Rpting & Cntrl","Urcan, Oktay",3.63626213592233
Spring,2017,21,CMN,211,0,5,7,0,2,3,2,0,0,0,0,1,1,0,Business Communication,"Ditewig-Morris, Kathleen",3.0966666666666667
Winter,2020,23,CMN,336,0,6,1,1,2,2,3,0,2,0,1,0,4,1,Family Communication,"Pulido, Manuel D",2.4395454545454545
Spring,2017,122,MATH,115,2,13,1,6,39,6,2,21,4,4,10,1,11,2,Preparation for Calculus,"Hoffmeister, April M",2.3833333333333337
Fall,2016,27,NUTR,510,0,19,0,0,4,0,0,3,0,0,1,0,0,0,Gastrointestinal Fermentation,"Swanson, Kelly S",3.5185185185185186
Fall,2021,50,BUS,201,10,19,12,3,3,0,1,0,0,1,0,1,0,0,Business Dynamics,"Dahl, James G",3.6672000000000002
Spring,2018,109,CHLH,380,0,103,4,1,1,0,0,0,0,0,0,0,0,0,Orientation to Internship,"Farner, Susan M",3.9725688073394494
Fall,2018,72,AGED,380,15,20,11,8,5,4,4,1,1,1,1,0,1,0,Leadership in Groups and Teams,"Collins, Jasmine D",3.444583333333333
Fall,2016,37,CS,296,5,22,7,3,0,0,0,0,0,0,0,0,0,0,Honors Course,"Angrave, Lawrence C",3.8832432432432435
Summer,2011,25,BIOP,401,4,14,3,2,0,0,0,1,0,0,1,0,0,0,Introduction to Biophysics,"Spies, Maria",3.7068
Spring,2017,61,MUS,262,0,60,0,0,0,0,0,0,0,0,0,0,1,0,Women's Glee Club,"Solya, Andrea",3.9344262295081966
Fall,2015,29,SOC,480,6,7,6,3,2,2,2,1,0,0,0,0,0,0,Methods of Field Research,"Zerai, Assata",3.5175862068965515
Spring,2014,23,SOC,100,0,0,3,3,2,4,2,1,3,1,2,1,1,0,Introduction to Sociology,"Buckley-Shaklee, Amber J",2.3195652173913044
Fall,2018,137,CHLH,260,50,46,9,7,15,3,2,2,3,0,0,0,0,0,Introduction to Medical Ethics,"Notaro, Stephen J",3.700875912408759
Spring,2011,23,IS,590,1,15,6,1,0,0,0,0,0,0,0,0,0,0,Adult Popular Literature,"Towner, Mary W",3.884782608695652
