Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Spring,2016,28,CMN,113,2,8,9,2,3,2,0,0,1,0,1,0,0,0,Small Group Communication,"Bryan, Ann L",3.4535714285714287
Fall,2013,29,BUS,101,3,23,2,0,1,0,0,0,0,0,0,0,0,0,Business Prof Responsibility,"Dahl, James G",3.942758620689655
Fall,2017,24,HIST,120,1,9,5,2,4,1,1,1,0,0,0,0,0,0,East Asian Civilizations,"Chen, Xiao",3.5004166666666667
Spring,2014,142,ECE,110,7,19,22,22,28,20,7,10,1,0,0,0,6,0,Intro Elec & Computer Engrg,"Minin, Serge",3.0519718309859156
Summer,2018,39,HDFS,105,14,9,3,3,5,1,2,0,1,1,0,0,0,0,Intro to Human Development,"Theisen, Jaclyn C",3.5469230769230764
Winter,2020,49,PSYC,204,3,19,10,2,5,1,2,1,1,1,1,0,3,0,Intro to Brain and Cognition,"Dolcos, Sanda M",3.258979591836735
Spring,2018,38,PSYC,238,0,19,6,4,1,2,3,1,0,2,0,0,0,0,Psychopathol & Probs in Living,"Lyubansky, Mikhail",3.4560526315789475
Summer,2019,66,CS,411,20,25,10,3,5,1,1,0,0,0,0,0,1,0,Database Systems,"Alawini, Abdussalam A",3.737727272727273
Spring,2021,68,IE,340,0,43,0,0,23,0,0,1,0,0,1,0,0,0,Human Factors,"Wooldridge, Abigail",3.588235294117647
Spring,2019,44,RST,200,1,24,0,0,11,0,0,7,0,0,0,0,1,0,Leadership in RST,"Hardin, Donald R",3.340909090909091
Spring,2021,118,KIN,355,13,40,26,14,17,1,3,1,1,0,2,0,0,0,Biomechanics of Human Movement,"Rice, Ian M",3.5624576271186448
Spring,2018,109,CHEM,315,2,16,23,14,21,9,5,10,6,0,0,0,3,0,Instrumental Chem Systems Lab,"Gewirth, Andrew A",3.0433944954128433
Fall,2012,36,ECON,102,0,10,6,6,4,5,2,0,2,1,0,0,0,0,Microeconomic Principles,"Ham Gonzalez, Andres",3.241111111111111
Spring,2015,32,ACCY,410,2,10,6,3,7,2,1,0,1,0,0,0,0,0,Advanced Financial Reporting,"Kustanovich, Michael",3.4484375
Fall,2018,25,PHIL,101,0,10,5,5,2,1,1,0,1,0,0,0,0,0,Introduction to Philosophy,"Bryan, Benjamin A",3.5068
